UPC,Item,Description,Dept,Price,C/U,Case,5-Case
5041596051,96051,XX-24HP150 H-PAN 1 /2X4,273,16.59,0,0,0
5041596025,96025,XX-25S434151 CAMRA CK 25C,273,32.75,0,0,0
5041530082,2730082,XX-25S534151 GLASS RACK,273,35.52,0,0,0
5041595813,95813,XX-25S738110 GLASS RACK,273,33.91,0,0,0
5041530211,2730211,XX-25S738151 CAMRA CK 25C,273,44.92,0,0,0
5041530332,2730332,XX-25S800151 GLASS RACK,273,43,0,0,0
5041530361,2730361,XX-25S800151 GLASS RACK,273,43.99,0,0,0
5440395990,95990,XX-260 DISPLAY CASE,273,199.99,0,0,0
5078030190,2730190,XX-262-1159 ASH RECEPTACLE,273,194.58,0,0,0
5454595998,95998,XX-27051 SLICING DISK 1MM,273,59.5,0,0,0
5454596107,96107,XX-27055 S-BLDE FOR R2N,273,72.59,0,0,0
5454595391,95391,XX-27240-CLEAR BOWL KIT,273,211.75,0,0,0
5454596056,96056,XX-27242 VEG PREP ATTACH,273,173.83,0,0,0
5454595965,95965,XX-27588 SHREDDING DISC,273,59.5,0,0,0
5454530133,2730133,"XX-27786 SLICING DISC 1/4""",273,65.63,0,0,0
5013895341,95341,"XX-28"" PIZZA SCREEN",273,30,0,0,0
5078095393,95393,"XX-280-1406, 32OZ. TRI-TIP",273,5.68,0,0,0
5013895700,95700,"XX-28714 MEGA SCRE EN 14""",273,4.7,0,0,0
5013895953,95953,"XX-28714 MEGA SCREEN 14""",273,5.5,0,0,0
2219295563,95563,"XX-290-981 MAT, 39 "" X 19",273,56.6,0,0,0
5041596094,96094,XX-2900CT110 OVAL SERV T,273,31.4,0,0,0
5041530259,2730259,XX-300MPC186 CAM C ARRIER,273,220,0,0,0
5041530243,2730243,XX-30CWL135 1/3 FL IPLID,273,6.56,0,0,0
5041530081,2730081,XX-30S638151 GLASS RACK,273,40.6,0,0,0
5041595715,95715,XX-3200P2152 CLR 3 2Z TUM,273,1.7,0,0,0
5041530137,2730137,XX-3200P2152 TMBLR CLR 32,273,2.04,0,0,0
3056595999,95999,XX-3324-13 TRITIP SQ BOT,273,32,0,0,0
5020996037,96037,XX-3504.NG CUTTER BLADE,273,65.8,0,0,0
5041530384,2730384,XX-36S318151 CAM R ACK,273,24.11,0,0,0
5041530054,2730054,XX-36S318151 GLASS RACK 3,273,24.11,0,0,0
5041530363,2730363,XX-36S900151 GLASS RACK,273,49.99,0,0,0
5130930389,2730389,XX-3704 BRANDY 9.2 5 OZ,273,70.79,0,0,0
8565195862,95862,XX-3736-WALNUT 7-1/2 CANVS,273,35,0,0,0
3056596060,96060,XX-379009 INSTACUT BUMPER,273,2.13,0,0,0
7048230090,2730090,XX-39050WT 16Z BOWL,273,30,0,0,0
5965030236,2730236,XX-3915A02C GREASE TRAP,273,272.95,0,0,0
5062030238,2730238,XX-395/115V KNIFE SHARPE,273,400,0,0,0
5440895934,95934,XX-40010 BLENDING STATION,273,915.99,0,0,0
5041596049,96049,XX-400STP000 CARRIER STRAP,273,7.5,0,0,0
3056595430,95430,XX-40822-HOTDOG ROLLER,273,460.06,0,0,0
5013895472,95472,XX-4220 PIZZA PEEL,273,32.53,0,0,0
2134430168,2730168,XX-4249A PROPER PO UR 1.5,273,25.94,0,0,0
5062095688,95688,"XX-4412HD/12, 12"" HD TON",273,6.2,0,0,0
3056530297,2730297,XX-4450613 C-LEG FOR LAMP,273,74.99,0,0,0
5403796031,96031,XX-45457 FOOT PAD,273,1.45,0,0,0
5403796033,96033,XX-45632-2 THUMB SCREW,273,1.2,0,0,0
5041596005,96005,XX-46017 SPOUT FOR 6G DIS,273,9,0,0,0
3056595318,95318,"XX-500N-ONION KING 3/16""",273,292.5,0,0,0
5130996027,96027,XX-5018 MUG 14OZ. PANELE,273,39.99,0,0,0
2940730184,2730184,XX-503357 COUPLING KIT,273,42.99,0,0,0
5130930343,2730343,XX-5121 SHOT GLASS 1.25 O,273,105,0,0,0
5130996077,96077,XX-5121 SHOT GLASS 1.25Z,273,94,0,0,0
5130996095,96095,XX-5121 WHISKEY 1. 25OZ,273,75.72,0,0,0
5130995417,95417,"XX-5126 SHOT GLASS , 2 OZ",273,53.85,0,0,0
5130996044,96044,XX-5273 MUG 12 OZ.,273,31.81,0,0,0
5130930013,2730013,XX-5273 MUG 12 OZ.,273,40.51,0,0,0
5130930241,2730241,"XX-5273 MUG, 12 OZ .",273,40.51,0,0,0
5130930128,2730128,XX-5303 STEIN 19.5 OZ.,273,55.93,0,0,0
7402195977,95977,XX-5304486234 GASKET FOR,273,42,0,0,0
5130930335,2730335,XX-5329 FOOTBALL C OOLER,273,33,0,0,0
5130995962,95962,"XX-5335 MODERNO 6"" PLATE",273,72.56,0,0,0
5130995772,95772,"XX-5360 BEER GLASS , 22 O",273,63.87,0,0,0
5403795952,95952,XX-55050AN SPIRAL FFKUTTER,273,235,0,0,0
3056530136,2730136,"XX-55059 1/4"" DICE ASSEMBL",273,145.86,0,0,0
3056595701,95701,XX-55059 BLADE ASS'Y/HNDL,273,128.34,0,0,0
5403795984,95984,XX-55300A-1 EASY CHEESER,273,172.5,0,0,0
5403796030,96030,XX-55432 BUMPER,273,1.95,0,0,0
5403730282,2730282,XX-55432 BUMPER,273,3.15,0,0,0
5403795985,95985,XX-55600-2 EASY SLICER 1/4,273,208.75,0,0,0
5403796032,96032,"XX-56417 PUSH BLOCK 1/4""",273,14.5,0,0,0
5403730281,2730281,"XX-56417 PUSH BLOCK 1/4""",273,20.93,0,0,0
5403730048,2730048,"XX-56418 PUSH BLOCK 3/8""",273,18.75,0,0,0
5403796034,96034,XX-56424-1 BLADE ASS'Y 1/4,273,86.5,0,0,0
5403796022,96022,"XX-56424-2 3/8"" BLADE ASSY",273,95.4,0,0,0
5403730049,2730049,XX-56424-2 BLADE ASS'Y 3/8,273,102.5,0,0,0
5403796123,96123,XX-56424-2 BLADE ASS'Y 3/8,273,91.5,0,0,0
5041530024,2730024,XX-60012 HINGE FOR 300MPC,273,12,0,0,0
5041596035,96035,XX-60263 2-HOLE LA TCH,273,2.57,0,0,0
5041530199,2730199,XX-60263 LATCH FOR 500LCD,273,4.5,0,0,0
5041530372,2730372,XX-60263 LATCH FOR 500LCD,273,5,0,0,0
5041595997,95997,XX-60263 PLASTIC L ATCH K,273,4,0,0,0
5041530273,2730273,XX-60267 FAUCET KI T,273,8.44,0,0,0
5041530066,2730066,XX-60267 FAUCET KI T,273,11,0,0,0
5041530200,2730200,XX-60267 FAUCET KI T,273,14,0,0,0
5041595447,95447,XX-60267 FAUCET KI T,273,18.21,0,0,0
5041596097,96097,XX-60270 BACK LID FORIBS,273,15,0,0,0
5041596098,96098,XX-60271 SLIDELID FR IBS,273,15,0,0,0
5041595838,95838,XX-60627 FAUCET KI T CAMT,273,12.36,0,0,0
5090395547,95547,XX-6126-HBB908 CON TAINER,273,33.95,0,0,0
5090395573,95573,"XX-6126-HBB908, 44 Z CONT",273,37.04,0,0,0
5090395542,95542,XX-6126-HBB909 CON T 32Z,273,59.38,0,0,0
5201096017,96017,XX-614DBA20-GN APR ON GRE,273,8,0,0,0
5201095489,95489,"XX-615NBA-BK, NEOP RN APR",273,24.99,0,0,0
5041595660,95660,XX-6318-158 RED CA MCR DO,273,59.65,0,0,0
5041530274,2730274,XX-64003 SPOUT KIT,273,1.8,0,0,0
5041530201,2730201,XX-64003 SPOUT KIT,273,3,0,0,0
5041595448,95448,XX-64003 SPOUT KIT,273,4,0,0,0
5041530067,2730067,XX-64003 SPOUT KIT ASSEMB,273,3,0,0,0
5034595638,95638,XX-6677 SNZGRD REP LACEME,273,97.82,0,0,0
3056595317,95317,"XX-67312-FLAT CVR, 7-7/8""",273,7.85,0,0,0
3056595316,95316,"XX-67315-FLAT CVR, 9-7/8""",273,9.55,0,0,0
3065695315,95315,"XX-67317-FLAT CVR, 10-5/8""",273,9.95,0,0,0
3056595314,95314,"XX-67541-FLAT CVR, 14-5/8""",273,14.85,0,0,0
3056595313,95313,"XX-67581-FLAT CVR, 18-7/8""",273,27.35,0,0,0
5041595637,95637,"XX-6TGS110, 6"" BLK TONG",273,1.25,0,0,0
3056530298,2730298,"XX-72675019 HEAT STRIP 24""",273,145.16,0,0,0
4480030058,2730058,XX-73-0111 BOWL FOR 30Q MX,273,486,0,0,0
5130995321,95321,XX-7515-18.25Z BALLON WINE,273,39,0,0,0
2219295419,95419,"XX-755-S360-RD, NI RU 3X6",273,"1,100.00",0,0,0
2134430104,2730104,XX-75F SPOUT FOR B EV DIS,273,13,0,0,0
2134495749,95749,"XX-75F, FAUCET FOR #75",273,13.85,0,0,0
5440830006,2730006,XX-760 ACCELERATOR TOOL,273,10.19,0,0,0
5440830059,2730059,XX-760 ACCELERATOR TOOL,273,15,0,0,0
3056595319,95319,XX-77200-FULL SIZE DOMECVR,273,35.15,0,0,0
3056595320,95320,XX-77500-HALF SIZE DOMECVR,273,26.7,0,0,0
3056530040,2730040,"XX-78451 SAUCE PAN, 5.5 QT",273,115,0,0,0
5021895833,95833,XX-803-0284 FILTER PAPER,273,67.25,0,0,0
2243095722,95722,XX-81320 PUMP ONLY,273,108.35,0,0,0
3121295652,95652,XX-820PG HANGING S CALE,273,235.56,0,0,0
5041595821,95821,XX-826MT148 MARKET TRAY,273,9.26,0,0,0
5130995783,95783,XX-8427 MAGNA GRAN DE 27.,273,60.92,0,0,0
5041530233,2730233,XX-853FCP167 3-COM P TRAY,273,3.05,0,0,0
5041530234,2730234,XX-853FCPC190 LID FOR TR,273,1.61,0,0,0
2243095554,95554,XX-86650 TRIPLE DISPENSER,273,208.44,0,0,0
5006230287,2730287,XX-8685 AVOCADO SL ICER,273,11,0,0,0
5006230010,2730010,XX-8685 AVOCADO SL ICER/P,273,10,0,0,0
5130995327,95327,XX-8876-6.5Z MARTINI GLASS,273,108.07,0,0,0
5041530055,2730055,XX-8HS800151 GLASS RACK 8,273,34.65,0,0,0
3056595738,95738,"XX-90082, SP3 FULL PAN 8""",273,46.16,0,0,0
5041595742,95742,XX-900P152 TUMBLR 9.7Z C,273,1.31,0,0,0
7046195991,95991,"XX-9091 STRAINER 2 .75""",273,2.5,0,0,0
5041595867,95867,XX-90PPSC190 FOOD PAN CO,273,1.73,0,0,0
5130995326,95326,XX-9104RL-13.75Z WINE GLAS,273,36.02,0,0,0
7402130198,2730198,XX-913390 LID PIN SCREW,273,8.5,0,0,0
5130930014,2730014,XX-92307 ARUBA 24O Z COCK,273,95.42,0,0,0
5130996066,96066,XX-92307 ARUBA 24Z CKTAIL,273,97.5,0,0,0
4331395881,95881,XX-9306N THERMOMET ER,273,48.6,0,0,0
4331396076,96076,XX-9306N THERMOMET ER,273,60.75,0,0,0
5048295774,95774,"XX-94003-K, AQUATU FF KIT",273,231.55,0,0,0
2243030085,2730085,XX-94009 S/S JAR 3 QT.,273,34,0,0,0
2243095788,95788,"XX-94009 S/S JAR, 3 QUART",273,37.5,0,0,0
5041595866,95866,XX-94PP190 FOOD PA N 1/9X,273,2.99,0,0,0
5041595839,95839,XX-95839 SPOUT KIT CAMTNE,273,3,0,0,0
5130996004,96004,XX-97085 16.5Z DRI NKINGJ,273,15,0,0,0
5130930386,2730386,XX-97085 DRINKING JAR,273,16,0,0,0
5090396092,96092,XX-990035900 BLACK RING,273,3.95,0,0,0
5008095439,95439,XX-9922-1-CL-22Z T MBLR C,273,158,0,0,0
7046195639,95639,XX-A1 HANDLE FOR F F CUTT,273,13.63,0,0,0
7046195614,95614,"XX-A15C 1/4"" CUTTI NG FRA",273,33.01,0,0,0
7046195615,95615,"XX-A16C 1/4"" PUSHE R BLOC",273,13.89,0,0,0
7406195649,95649,XX-A16S FFCUTTER B LOCK 3,273,25,0,0,0
7046130299,2730299,"XX-A250 FF CUTTER 1/4""",273,93.9,0,0,0
7046195306,95306,"XX-A250 FF CUTTER, 1/4""",273,106.72,0,0,0
7046196046,96046,"XX-A250 FF CUTTER, 1/4""",273,88.45,0,0,0
7046195768,95768,"XX-A250, FFRY CUTT ER 1/4",273,87.96,0,0,0
2833095483,95483,XX-A3002-WHT KIDS APRON,273,7.5,0,0,0
7046130369,2730369,"XX-A500 FF CUTTER 1/2""",273,97.98,0,0,0
7046195786,95786,"XX-A500 FF CUTTER, 1/2""",273,97.98,0,0,0
